episode,reward,winning_rate
100,0.03421823507872575,0.05
200,0.039797948399129625,0.03
300,0.03928032899246059,0.06
400,0.038440709617180206,0.06
500,0.0391804788213628,0.06
600,0.03793072558972828,0.01
700,0.04010564359188212,0.06
800,0.03957775795420756,0.07
900,0.039185493460166476,0.02
1000,0.0394396189408798,0.02
1100,0.04065686581169847,0.07
1200,0.03847248576850095,0.06
1300,0.038571001494768324,0.03
1400,0.04004500160720026,0.04
1500,0.0396483870967742,0.02
1600,0.0402034709754638,0.07
1700,0.03915866084425036,0.05
1800,0.04098561371288645,0.06
1900,0.039305714285714284,0.04
2000,0.038242978445460485,0.06
2100,0.03863622338784326,0.07
2200,0.03842187500000001,0.04
2300,0.038795997417688834,0.04
2400,0.039564315352697096,0.06
2500,0.036858118596709094,0.04
2600,0.03784939759036145,0.05
2700,0.038149532710280376,0.03
2800,0.039102177554438865,0.07
2900,0.04051759232334982,0.06
3000,0.03917667740990331,0.04
3100,0.0396162456028142,0.05
3200,0.040417174177831916,0.05
3300,0.039833380401016666,0.05
3400,0.04103150092649784,0.08
3500,0.038505079825834544,0.11
3600,0.04016065474386178,0.09
3700,0.04179731743666169,0.08
3800,0.03902388059701493,0.09
3900,0.0392749836708034,0.06
4000,0.039058716707021796,0.07
4100,0.04004970760233918,0.1
4200,0.041695783132530126,0.07
4300,0.03878263337116913,0.06
4400,0.04168748184722626,0.1
4500,0.04018448023426062,0.05
4600,0.038134859263841636,0.07
4700,0.03768431001890359,0.07
4800,0.04133894859134475,0.21
4900,0.03994404213298223,0.21
5000,0.03862653807781843,0.25
5100,0.0402000702000702,0.24
5200,0.037355371900826446,0.24
5300,0.037464635473340585,0.24
5400,0.033678065054211836,0.34
5500,0.03359317000742391,0.2
5600,0.033813322696449946,0.16
5700,0.031916700363930454,0.17
5800,0.030738037307380377,0.12
5900,0.032873294346978554,0.14
6000,0.03281137364837806,0.18
6100,0.03421095008051529,0.2
6200,0.03210909090909091,0.14
6300,0.032961321514907334,0.13
6400,0.03433461538461539,0.22
6500,0.03486617100371747,0.07
6600,0.0331939304219097,0.18
6700,0.033359884141926144,0.12
6800,0.03449244060475163,0.15
6900,0.03415457184325109,0.17
7000,0.03442000709471444,0.13
7100,0.031253858024691356,0.23
7200,0.03564489795918368,0.19
7300,0.037095931317655845,0.31
7400,0.036805981595092026,0.25
7500,0.03665807876334192,0.41
7600,0.03579580745341615,0.28
7700,0.034412972085385886,0.35
7800,0.0312988551125148,0.24
7900,0.03106720977596741,0.25
8000,0.0356745886654479,0.19
8100,0.03197378872120731,0.23
8200,0.03976608187134503,0.39
8300,0.039330402434900234,0.2
8400,0.040791316526610645,0.27
8500,0.04040261527873365,0.23
8600,0.038346693386773545,0.18
8700,0.03866033409760891,0.3
8800,0.03901655964852991,0.29
8900,0.03774758670003575,0.27
9000,0.03618542108987969,0.34
9100,0.03643873654980909,0.35
9200,0.03779643231899266,0.31
9300,0.03930111524163569,0.33
9400,0.03960734870317004,0.39
9500,0.03919642857142857,0.17
9600,0.0405390749601276,0.31
9700,0.04157777777777779,0.44
9800,0.03941624365482234,0.36
9900,0.04216943521594685,0.42
10000,0.03992852501624431,0.34
10100,0.0414109232769831,0.35
10200,0.040758503401360544,0.47
10300,0.04435009797517962,0.49
